customer_key,customer_code,first_name,last_name,email,age_group,gender,loyalty_tier,signup_date
25,CUST-00025,Priya,Cele,customer25@email.com,18-24,M,Silver,2022-07-01
26,CUST-00026,Thandi,Pillay,customer26@email.com,25-34,M,Bronze,2023-06-17
27,CUST-00027,Nomvula,Dlamini,customer27@email.com,55+,M,Bronze,2023-05-07
28,CUST-00028,Tumi,Nkosi,customer28@email.com,18-24,M,Silver,2022-07-12
29,CUST-00029,Andrew,Dlamini,customer29@email.com,25-34,F,Bronze,2020-12-04
30,CUST-00030,Zanele,Pillay,customer30@email.com,18-24,F,Silver,2018-10-25
31,CUST-00031,Refilwe,van der Merwe,customer31@email.com,25-34,F,Bronze,2018-10-09
32,CUST-00032,Thabo,Maluleke,customer32@email.com,18-24,F,Gold,2023-12-07
33,CUST-00033,Pieter,Patel,customer33@email.com,55+,M,Gold,2021-02-28
34,CUST-00034,Mpho,Khumalo,customer34@email.com,18-24,F,Platinum,2018-07-28
35,CUST-00035,ZANELE,Dlamini,customer35@email.com,55+,F,Silver,2022-12-15
36,CUST-00036,Thandi,van der Merwe,customer36@email.com,55+,M,Silver,2022-02-21
37,CUST-00037,Aisha,Dlamini,customer37@email.com,25-34,M,Gold,2022-01-05
38,CUST-00038,Pieter,Jacobs,customer38@email.com,25-34,M,Platinum,2019-09-26
39,CUST-00039,Rashid,Mahlangu,customer39@email.com,25-34,F,Bronze,2022-08-14
40,CUST-00040,Rashid,Mosia,customer40@email.com,35-44,F,Platinum,2023-03-01
41,CUST-00041,Rashid,Botha,customer41@email.com,35-44,F,Gold,2018-10-12
42,CUST-00042,Tumi,Pillay,,25-34,F,Bronze,2020-12-05
43,CUST-00043,Pieter,Mabaso,customer43@email.com,18-24,F,Silver,2023-09-26
44,CUST-00044,Nomvula,Mthembu,customer44@email.com,35-44,F,Bronze,2020-03-18
45,CUST-00045,Nthabiseng,Naidoo,customer45@email.com,35-44,F,Bronze,2023-09-09
46,CUST-00046,Naledi,Mosia,customer46@email.com,55+,F,Silver,2019-12-14
47,CUST-00047,Kagiso,Mokoena,customer47@email.com,45-54,F,Silver,2021-08-12
48,CUST-00048,Nthabiseng,Khumalo,customer48@email.com,35-44,F,Bronze,2018-12-14
49,CUST-00049,Sanele,Cele,customer49@email.com,25-34,F,Silver,2018-07-09
50,CUST-00050,Yolanda,Cele,customer50@email.com,45-54,F,Bronze,2022-04-22
51,CUST-00051,Aisha,Kruger,customer51@email.com,25-34,M,Platinum,2022-10-08
52,CUST-00052,Ayanda,Pretorius,customer52@email.com,45-54,F,Platinum,2019-07-01
53,CUST-00053,Hendrik,Maluleke,customer53@email.com,25-34,F,Silver,2023-01-01
54,CUST-00054,Zanele,Cele,customer54@email.com,35-44,F,Bronze,2020-09-06
55,CUST-00055,Ayanda,Smith,customer55@email.com,25-34,F,Gold,2019-09-10
56,CUST-00056,Aisha,Mosia,customer56@email.com,25-34,F,Silver,2018-09-13
57,CUST-00057,Hendrik,Cele,customer57@email.com,45-54,M,Bronze,2022-04-08
58,CUST-00058,David,Cele,customer58@email.com,45-54,M,Bronze,2020-06-22
59,CUST-00059,SARAH,Sithole,customer59@email.com,45-54,M,Silver,2019-11-08
60,CUST-00060,Kagiso,Mokoena,customer60@email.com,25-34,F,Bronze,2022-10-22
61,CUST-00061,Sipho,Mthembu,customer61@email.com,35-44,F,Bronze,2022-04-02
62,CUST-00062,Sanele,Nkosi,customer62@email.com,18-24,M,Platinum,2020-07-07
63,CUST-00063,Thandi,Botha,customer63@email.com,55+,M,Silver,2019-04-14
64,CUST-00064,Ayanda,Mthembu,customer64@email.com,25-34,F,Bronze,2019-04-15
65,CUST-00065,Refilwe,Mokoena,customer65@email.com,18-24,M,Bronze,2020-03-23
66,CUST-00066,Ayanda,Cele,customer66@email.com,35-44,F,Gold,2018-06-18
67,CUST-00067,Karabo,Nkosi,customer67@email.com,45-54,F,Gold,2019-03-09
68,CUST-00068,Hendrik,Maluleke,customer68@email.com,55+,F,Silver,2021-01-11
69,CUST-00069,Sarah,Tshabalala,customer69@email.com,45-54,M,Platinum,2021-02-16
70,CUST-00070,Michael,Ndlovu,customer70@email.com,45-54,M,Bronze,2020-01-15
71,CUST-00071,Rashid,Mthembu,customer71@email.com,55+,M,Bronze,2018-02-11
72,CUST-00072,Johan,Tshabalala,customer72@email.com,45-54,M,Bronze,2023-07-04
73,CUST-00073,David,Botha,customer73@email.com,35-44,F,Gold,2023-12-15
74,CUST-00074,Kagiso,Naidoo,customer74@email.com,35-44,M,Gold,2020-02-28
75,CUST-00075,Kagiso,Cele,customer75@email.com,55+,F,Bronze,2023-11-19
76,CUST-00076,Sanele,Khumalo,customer76@email.com,35-44,M,Bronze,2019-06-03
77,CUST-00077,Kagiso,Smith,customer77@email.com,55+,F,Silver,2018-02-20
78,CUST-00078,Brenda,Maluleke,customer78@email.com,18-24,F,Silver,2019-04-13
79,CUST-00079,Lerato,Ndlovu,customer79@email.com,18-24,M,Bronze,2021-05-29
80,CUST-00080,Kagiso,Cele,customer80@email.com,45-54,F,Bronze,2022-04-08
81,CUST-00081,Yolanda,Ndlovu,customer81@email.com,25-34,M,Bronze,2019-02-11
82,CUST-00082,Nthabiseng,Nkosi,,55+,F,Bronze,2023-01-20
83,CUST-00083,Sipho,Botha,customer83@email.com,35-44,M,Silver,2020-08-14
84,CUST-00084,Pieter,Williams,customer84@email.com,25-34,F,Silver,2018-09-02
85,CUST-00085,Bongani,Ndlovu,customer85@email.com,35-44,F,Silver,2022-07-07
86,CUST-00086,Lerato,Mabaso,customer86@email.com,25-34,M,Platinum,2019-01-10
87,CUST-00087,Nthabiseng,Mthembu,customer87@email.com,35-44,M,Silver,2022-12-17
88,CUST-00088,Sarah,Kruger,customer88@email.com,18-24,M,Bronze,2021-08-08
89,CUST-00089,Sarah,Mosia,customer89@email.com,45-54,M,Bronze,2018-05-31
90,CUST-00090,Zanele,Naidoo,customer90@email.com,55+,F,Silver,2018-01-05
91,CUST-00091,Sipho,Khumalo,customer91@email.com,25-34,F,Silver,2018-07-31
92,CUST-00092,Aisha,Smith,customer92@email.com,25-34,F,Silver,2020-09-07
93,CUST-00093,Thandi,Williams,customer93@email.com,25-34,F,Gold,2019-04-27
94,CUST-00094,David,Pretorius,customer94@email.com,55+,M,Silver,2023-02-14
95,CUST-00095,Nomvula,Mabaso,customer95@email.com,35-44,F,Platinum,2022-08-27
96,CUST-00096,Thandi,Smith,customer96@email.com,45-54,F,Bronze,2019-09-01
97,CUST-00097,Mpho,Williams,customer97@email.com,55+,F,Bronze,2020-09-05
98,CUST-00098,Yolanda,Cele,customer98@email.com,45-54,M,Silver,2022-04-11
99,CUST-00099,Sipho,Patel,customer99@email.com,18-24,F,Bronze,2022-12-09
100,CUST-00100,Bongani,Patel,customer100@email.com,35-44,F,Gold,2020-12-21
101,CUST-00101,Lerato,Naidoo,customer101@email.com,55+,M,Silver,2023-06-22
102,CUST-00102,Lerato,Botha,customer102@email.com,18-24,M,Silver,2022-11-13
103,CUST-00103,Thabo,Mosia,customer103@email.com,35-44,F,Bronze,2022-01-08
104,CUST-00104,Johan,Pretorius,customer104@email.com,55+,M,Silver,2022-04-16
105,CUST-00105,Priya,Ndlovu,customer105@email.com,45-54,F,Gold,2018-02-08
106,CUST-00106,Kagiso,Mahlangu,customer106@email.com,35-44,F,Platinum,2022-10-04
107,CUST-00107,David,Khumalo,customer107@email.com,55+,F,Gold,2022-01-10
108,CUST-00108,David,Mokoena,customer108@email.com,55+,F,Platinum,2018-07-20
109,CUST-00109,Hendrik,Smith,customer109@email.com,55+,F,Gold,2020-02-18
110,CUST-00110,Faith,Tshabalala,customer110@email.com,35-44,F,Bronze,2018-06-11
111,CUST-00111,Refilwe,Jacobs,customer111@email.com,25-34,M,Platinum,2019-12-21
112,CUST-00112,Kagiso,Jacobs,customer112@email.com,35-44,F,Platinum,2023-05-28
113,CUST-00113,Pieter,Maluleke,customer113@email.com,55+,F,Bronze,2022-06-16
114,CUST-00114,RASHID,Pillay,customer114@email.com,55+,F,Platinum,2020-12-09
115,CUST-00115,Lebo,Jacobs,customer115@email.com,55+,M,Gold,2021-09-05
116,CUST-00116,Lerato,Kruger,customer116@email.com,18-24,M,Bronze,2019-07-27
117,CUST-00117,Brenda,van der Merwe,customer117@email.com,55+,M,Silver,2022-09-13
118,CUST-00118,Lebo,van der Merwe,customer118@email.com,25-34,F,Silver,2022-02-26
119,CUST-00119,Johan,Jacobs,customer119@email.com,18-24,F,Bronze,2022-01-09
120,CUST-00120,Nomvula,van der Merwe,customer120@email.com,18-24,F,Bronze,2018-03-29
121,CUST-00121,Aisha,Visser,customer121@email.com,25-34,F,Platinum,2020-06-03
122,CUST-00122,Aisha,visser,customer122@email.com,55+,F,Platinum,2019-06-17
123,CUST-00123,  Thabo,van der Merwe,customer123@email.com,55+,F,Bronze,2020-09-01
124,CUST-00124,Thabo,Mthembu,customer124@email.com,45-54,F,Silver,2023-05-05
125,CUST-00125,Refilwe,van der Merwe,customer125@email.com,35-44,F,Gold,2023-11-06
126,CUST-00126,Thandi,Dlamini,customer126@email.com,18-24,M,Bronze,2022-12-22
127,CUST-00127,Andrew,Patel,customer127@email.com,45-54,F,Silver,2021-08-24
128,CUST-00128,Tumi,Mabaso,customer128@email.com,45-54,F,Bronze,2020-05-30
129,CUST-00129,Sarah,Naidoo,customer129@email.com,35-44,F,Bronze,2021-07-04
130,CUST-00130,Nthabiseng,Sithole,customer130@email.com,25-34,M,Silver,2022-03-07
131,CUST-00131,Kagiso,Williams,customer131@email.com,18-24,F,Silver,2022-09-29
132,CUST-00132,David,Jacobs,customer132@email.com,35-44,F,Bronze,2019-03-20
133,CUST-00133,Faith,Mthembu,customer133@email.com,55+,F,Bronze,2018-04-18
134,CUST-00134,Thabo,Mthembu,,55+,F,Bronze,2019-08-10
135,CUST-00135,Aisha,Tshabalala,customer135@email.com,45-54,F,Bronze,2022-09-16
136,CUST-00136,Karabo,Smith,customer136@email.com,25-34,M,Platinum,2018-08-04
137,CUST-00137,Andrew,Dlamini,customer137@email.com,45-54,F,Bronze,2022-12-16
138,CUST-00138,Faith,Pretorius,customer138@email.com,55+,F,Bronze,2023-06-17
139,CUST-00139,Johan,Pillay,customer139@email.com,35-44,F,Bronze,2019-07-17
140,CUST-00140,Pieter,Mokoena,customer140@email.com,55+,F,Bronze,2020-07-31
141,CUST-00141,Naledi,tshabalala,customer141@email.com,55+,F,Gold,2022-10-25
142,CUST-00142,Lebo,Coetzee,customer142@email.com,35-44,M,Silver,2023-02-28
143,CUST-00143,Yolanda,van der Merwe,customer143@email.com,35-44,M,Bronze,2021-06-24
144,CUST-00144,Faith,Mahlangu,customer144@email.com,35-44,M,Bronze,2021-12-02
145,CUST-00145,Pieter,Patel,customer145@email.com,25-34,F,Silver,2018-11-05
146,CUST-00146,Faith,Ndlovu,customer146@email.com,35-44,M,Silver,2021-08-16
147,CUST-00147,Lerato,Sithole,customer147@email.com,18-24,F,Silver,2023-09-10
148,CUST-00148,Michael,Dlamini,customer148@email.com,55+,F,Silver,2019-01-05
149,CUST-00149,Refilwe,Williams,customer149@email.com,35-44,F,Silver,2020-02-11
150,CUST-00150,Aisha,Dlamini,customer150@email.com,55+,M,Bronze,2018-12-12
151,CUST-00151,Johan,Mosia,customer151@email.com,35-44,F,Silver,2022-03-08
152,CUST-00152,Faith,Naidoo,customer152@email.com,18-24,F,Bronze,2021-09-12
153,CUST-00153,Zanele,Tshabalala,customer153@email.com,55+,M,Bronze,2018-11-30
154,CUST-00154,David,Kruger,customer154@email.com,55+,F,Gold,2021-06-22
155,CUST-00155,Rashid,Naidoo,customer155@email.com,18-24,F,Silver,2023-11-27
156,CUST-00156,Karabo,Mokoena,customer156@email.com,25-34,M,Bronze,2023-06-15
157,CUST-00157,Aisha,Nkosi,customer157@email.com,18-24,F,Platinum,2023-11-27
158,CUST-00158,Andrew,Patel,customer158@email.com,45-54,M,Silver,2019-11-10
159,CUST-00159,Karabo,Reddy,customer159@email.com,25-34,M,Bronze,2023-01-13
160,CUST-00160,Rashid,Visser,customer160@email.com,45-54,F,Platinum,2022-12-10
161,CUST-00161,Naledi,Pretorius,customer161@email.com,35-44,M,Gold,2019-07-21
162,CUST-00162,Brenda,Jacobs,customer162@email.com,18-24,M,Bronze,2021-03-13
163,CUST-00163,Michael,Pretorius,customer163@email.com,35-44,M,Silver,2023-01-22
164,CUST-00164,Sipho,Pillay,customer164@email.com,35-44,M,Platinum,2018-04-26
165,CUST-00165,Ayanda,Kruger,customer165@email.com,25-34,F,Silver,2023-04-20
166,CUST-00166,Andrew,mokoena,customer166@email.com,45-54,M,Platinum,2023-12-02
167,CUST-00167,David,Botha,customer167@email.com,18-24,M,Platinum,2023-02-16
168,CUST-00168,Hendrik,sithole,customer168@email.com,35-44,F,Bronze,2019-08-12
169,CUST-00169,Andrew,Jacobs,customer169@email.com,18-24,M,Silver,2022-01-17
170,CUST-00170,Yolanda,Sithole,customer170@email.com,18-24,F,Bronze,2022-01-02
171,CUST-00171,Bongani,Reddy,customer171@email.com,35-44,F,Platinum,2018-07-01
172,CUST-00172,Lebo,Mahlangu,customer172@email.com,25-34,M,Gold,2020-01-17
173,CUST-00173,Faith,Maluleke,customer173@email.com,35-44,F,Platinum,2021-07-16
174,CUST-00174,Kagiso,Sithole,customer174@email.com,35-44,F,Bronze,2018-07-15
175,CUST-00175,Rashid,Jacobs,customer175@email.com,25-34,F,Gold,2021-10-20
176,CUST-00176,Brenda,Jacobs,customer176@email.com,45-54,M,Silver,2018-11-20
177,CUST-00177,David,Naidoo,customer177@email.com,25-34,F,Bronze,2022-10-12
178,CUST-00178,Michael,Dlamini,customer178@email.com,18-24,F,Bronze,2018-08-23
179,CUST-00179,Tumi,Visser,customer179@email.com,18-24,M,Bronze,2022-11-30
180,CUST-00180,Johan,Cele,,45-54,F,Bronze,2019-09-21
181,CUST-00181,Michael,Cele,customer181@email.com,25-34,M,Bronze,2021-02-15
182,CUST-00182,Bongani,Mahlangu,customer182@email.com,45-54,M,Silver,2020-12-02
183,CUST-00183,David,Mosia,customer183@email.com,25-34,F,Bronze,2023-01-26
184,CUST-00184,Rashid,Reddy,customer184@email.com,35-44,M,Gold,2021-04-04
185,CUST-00185,Ayanda,Mosia,customer185@email.com,25-34,M,Platinum,2020-04-03
186,CUST-00186,Brenda,Mokoena,customer186@email.com,55+,M,Bronze,2019-06-16
187,CUST-00187,David,Pillay,customer187@email.com,25-34,F,Gold,2018-10-30
188,CUST-00188,Lerato,Maluleke,customer188@email.com,25-34,F,Silver,2020-01-16
189,CUST-00189,Priya,Dlamini,customer189@email.com,35-44,F,Platinum,2020-07-12
190,CUST-00190,Lerato,Mthembu,customer190@email.com,18-24,M,Silver,2023-12-26
191,CUST-00191,Refilwe,Patel,customer191@email.com,18-24,M,Bronze,2018-06-18
192,CUST-00192,Lebo,Cele,customer192@email.com,45-54,F,Gold,2018-05-05
193,CUST-00193,David,Sithole,customer193@email.com,25-34,F,Silver,2018-09-03
194,CUST-00194,Brenda,Maluleke,customer194@email.com,45-54,M,Platinum,2021-11-15
195,CUST-00195,Karabo,Pretorius,customer195@email.com,25-34,M,Bronze,2020-10-12
196,CUST-00196,David,Pillay,customer196@email.com,55+,F,Bronze,2021-09-03
197,CUST-00197,Faith,Mahlangu,customer197@email.com,18-24,F,Silver,2018-04-05
198,CUST-00198,Michael,Botha,customer198@email.com,35-44,M,Platinum,2023-04-12
199,CUST-00199,Pieter,Coetzee,customer199@email.com,45-54,M,Silver,2018-07-05
200,CUST-00200,Kagiso,Khumalo,customer200@email.com,55+,M,Bronze,2021-02-19
201,CUST-00201,Pieter,Pillay,customer201@email.com,25-34,F,Silver,2019-08-14
202,CUST-00202,Sipho,Dlamini,customer202@email.com,55+,M,Bronze,2019-09-03
203,CUST-00203,Priya,Mabaso,customer203@email.com,55+,F,Gold,2021-10-09
204,CUST-00204,Refilwe,smith,customer204@email.com,55+,F,Platinum,2022-09-03
205,CUST-00205,Hendrik,Tshabalala,customer205@email.com,18-24,F,Bronze,2020-07-21
206,CUST-00206,Tumi,Kruger,customer206@email.com,18-24,M,Bronze,2020-09-19
207,CUST-00207,Thandi,Maluleke,customer207@email.com,18-24,M,Silver,2023-04-16
208,CUST-00208,Nomvula,Williams,customer208@email.com,45-54,F,Silver,2019-12-11
209,CUST-00209,Karabo,Reddy,customer209@email.com,25-34,M,Bronze,2023-06-07
210,CUST-00210,Kagiso,Smith,customer210@email.com,45-54,F,Silver,2020-04-29
211,CUST-00211,Karabo,Williams,customer211@email.com,45-54,F,Platinum,2022-04-05
212,CUST-00212,Rashid,Patel,customer212@email.com,35-44,F,Bronze,2022-12-17
213,CUST-00213,Nomvula,Williams,customer213@email.com,25-34,M,Gold,2020-09-07
214,CUST-00214,Hendrik,Pretorius,customer214@email.com,18-24,M,Bronze,2023-04-19
215,CUST-00215,Kagiso,Mahlangu,customer215@email.com,35-44,F,Bronze,2020-03-27
216,CUST-00216,Lebo,Dlamini,customer216@email.com,25-34,F,Platinum,2018-06-02
217,CUST-00217,Thabo,Dlamini,customer217@email.com,18-24,M,Bronze,2021-03-31
218,CUST-00218,Refilwe,Mabaso,customer218@email.com,45-54,M,Platinum,2023-11-18
219,CUST-00219,Tumi,Maluleke,customer219@email.com,25-34,M,Gold,2020-11-19
220,CUST-00220,Mpho,Visser,customer220@email.com,45-54,F,Bronze,2022-07-19
221,CUST-00221,Naledi,Reddy,customer221@email.com,35-44,F,Bronze,2018-01-28
222,CUST-00222,Michael,Cele,customer222@email.com,35-44,M,Bronze,2020-12-07
223,CUST-00223,Nthabiseng,van der Merwe,customer223@email.com,18-24,F,Bronze,2021-06-27
224,CUST-00224,Andrew,Botha,customer224@email.com,45-54,F,Platinum,2022-03-11
225,CUST-00225,Kagiso,Visser,customer225@email.com,55+,F,Silver,2018-12-02
226,CUST-00226,Ayanda,Jacobs,customer226@email.com,25-34,M,Bronze,2023-09-02
227,CUST-00227,Mpho,Pretorius,customer227@email.com,45-54,M,Silver,2023-09-22
228,CUST-00228,Aisha,Pretorius,customer228@email.com,18-24,F,Bronze,2021-06-16
229,CUST-00229,Sanele,Mokoena,customer229@email.com,55+,M,Bronze,2018-09-19
230,CUST-00230,Priya,Sithole,customer230@email.com,35-44,F,Silver,2022-09-18
231,CUST-00231,Yolanda,Pillay,customer231@email.com,18-24,M,Silver,2021-11-25
232,CUST-00232,Naledi,Pretorius,customer232@email.com,45-54,F,Silver,2021-05-07
233,CUST-00233,Naledi,Botha,customer233@email.com,18-24,F,Silver,2019-04-08
234,CUST-00234,Faith,Mokoena,customer234@email.com,25-34,M,Silver,2018-07-19
235,CUST-00235,Michael,Botha,customer235@email.com,25-34,F,Silver,2021-03-30
236,CUST-00236,Andrew,Cele,customer236@email.com,25-34,F,Bronze,2023-11-06
237,CUST-00237,Zanele,Dlamini,customer237@email.com,55+,F,Bronze,2022-10-16
238,CUST-00238,Karabo,Kruger,customer238@email.com,35-44,F,Bronze,2019-09-04
239,CUST-00239,Faith,Williams,customer239@email.com,18-24,F,Silver,2023-03-12
240,CUST-00240,Kagiso,Pretorius,customer240@email.com,35-44,M,Silver,2023-01-17
241,CUST-00241,Bongani,Khumalo,,25-34,M,Silver,2018-10-26
242,CUST-00242,Nomvula,Naidoo,customer242@email.com,45-54,M,Gold,2019-04-26
243,CUST-00243,Andrew,Mosia,customer243@email.com,45-54,F,Bronze,2022-04-09
244,CUST-00244,Zanele,Jacobs,customer244@email.com,35-44,M,Bronze,2023-04-08
245,CUST-00245,Mpho,Coetzee,,35-44,M,Bronze,2022-09-07
246,CUST-00246,Mpho,Botha,customer246@email.com,35-44,F,Gold,2021-10-14
247,CUST-00247,Lebo,Tshabalala,customer247@email.com,25-34,M,Silver,2023-06-24
248,CUST-00248,Sipho,Nkosi,customer248@email.com,18-24,M,Bronze,2020-08-05
249,CUST-00249,Nomvula,Pretorius,customer249@email.com,45-54,M,Bronze,2023-06-03
250,CUST-00250,Kagiso,williams,customer250@email.com,18-24,F,Platinum,2021-03-20
251,CUST-00251,Priya,Mahlangu,customer251@email.com,35-44,F,Bronze,2023-11-27
252,CUST-00252,Rashid,Pillay,customer252@email.com,35-44,M,Gold,2020-07-14
253,CUST-00253,Yolanda,Kruger,customer253@email.com,18-24,M,Bronze,2018-08-18
254,CUST-00254,Brenda,Coetzee,customer254@email.com,18-24,M,Bronze,2023-12-04
255,CUST-00255,Hendrik,Mosia,customer255@email.com,55+,M,Bronze,2021-02-22
256,CUST-00256,PRIYA,Naidoo,customer256@email.com,18-24,F,Bronze,2022-06-20
257,CUST-00257,Refilwe,Botha,customer257@email.com,25-34,M,Silver,2022-04-22
258,CUST-00258,Bongani,Jacobs,customer258@email.com,35-44,M,Gold,2022-06-13
259,CUST-00259,Zanele,Visser,customer259@email.com,25-34,F,Bronze,2022-11-04
260,CUST-00260,Faith,Mabaso,customer260@email.com,25-34,F,Bronze,2022-04-06
261,CUST-00261,Karabo,van der Merwe,customer261@email.com,25-34,M,Bronze,2019-02-23
262,CUST-00262,Sarah,Maluleke,customer262@email.com,55+,F,Platinum,2019-01-17
263,CUST-00263,Naledi,Mokoena,customer263@email.com,55+,M,Gold,2020-09-21
264,CUST-00264,Naledi,Mahlangu,customer264@email.com,35-44,F,Bronze,2022-11-16
265,CUST-00265,Brenda,Visser,customer265@email.com,45-54,M,Bronze,2020-03-11
266,CUST-00266,David,Mokoena,customer266@email.com,45-54,F,Silver,2021-09-11
267,CUST-00267,Sanele,Kruger,customer267@email.com,45-54,F,Bronze,2020-04-02
268,CUST-00268,Naledi,Naidoo,customer268@email.com,35-44,F,Bronze,2020-09-19
269,CUST-00269,Sanele,Visser,customer269@email.com,55+,M,Gold,2020-01-07
270,CUST-00270,Michael,Mosia,customer270@email.com,45-54,M,Gold,2022-08-03
271,CUST-00271,David,Botha,customer271@email.com,55+,F,Silver,2023-01-14
272,CUST-00272,Naledi,Williams,customer272@email.com,55+,M,Bronze,2022-01-12
273,CUST-00273,Faith,Botha,,35-44,F,Bronze,2022-06-25
274,CUST-00274,Thandi,van der Merwe,customer274@email.com,45-54,F,Silver,2020-06-24
275,CUST-00275,Michael,Cele,customer275@email.com,18-24,F,Silver,2023-06-01
276,CUST-00276,Priya,Nkosi,customer276@email.com,25-34,F,Bronze,2023-02-09
277,CUST-00277,Brenda,van der Merwe,customer277@email.com,18-24,F,Gold,2019-04-17
278,CUST-00278,Pieter,Reddy,customer278@email.com,35-44,F,Silver,2019-10-18
279,CUST-00279,Johan,Visser,customer279@email.com,55+,M,Silver,2018-04-30
280,CUST-00280,Refilwe,Coetzee,customer280@email.com,55+,M,Platinum,2018-09-14
281,CUST-00281,Yolanda,Williams,customer281@email.com,55+,F,Silver,2023-06-28
282,CUST-00282,Naledi,Mabaso,customer282@email.com,35-44,M,Gold,2019-12-08
283,CUST-00283,Aisha,Naidoo,customer283@email.com,45-54,F,Silver,2023-09-24
284,CUST-00284,Aisha,Ndlovu,customer284@email.com,55+,M,Silver,2019-12-11
285,CUST-00285,David,Patel,customer285@email.com,45-54,M,Bronze,2018-02-09
286,CUST-00286,Sanele,Pillay,customer286@email.com,45-54,F,Bronze,2022-08-30
287,CUST-00287,Lerato,Ndlovu,customer287@email.com,25-34,F,Silver,2021-03-28
288,CUST-00288,Bongani,Cele,customer288@email.com,55+,M,Platinum,2022-02-11
289,CUST-00289,Bongani,Maluleke,customer289@email.com,35-44,M,Silver,2020-10-10
290,CUST-00290,Zanele,Jacobs,customer290@email.com,25-34,F,Platinum,2020-08-28
291,CUST-00291,Ayanda,Mabaso,customer291@email.com,18-24,F,Silver,2020-04-27
292,CUST-00292,Zanele,Mabaso,customer292@email.com,55+,M,Bronze,2020-12-31
293,CUST-00293,Faith,Visser,customer293@email.com,25-34,M,Gold,2019-06-28
294,CUST-00294,Mpho,Botha,customer294@email.com,45-54,F,Silver,2021-01-05
295,CUST-00295,Lerato,Kruger,customer295@email.com,45-54,F,Bronze,2022-02-20
296,CUST-00296,Refilwe,Mokoena,customer296@email.com,18-24,F,Bronze,2022-01-07
297,CUST-00297,Sarah,Khumalo,customer297@email.com,55+,F,Platinum,2019-06-19
298,CUST-00298,Mpho,Reddy,customer298@email.com,18-24,M,Silver,2018-03-08
299,CUST-00299,Michael,Mokoena,customer299@email.com,25-34,F,Bronze,2021-05-21
300,CUST-00300,Lebo,Jacobs,customer300@email.com,35-44,M,Silver,2022-06-12
301,CUST-00301,Lebo,nkosi,customer301@email.com,55+,F,Bronze,2020-07-15
302,CUST-00302,Thandi,Mosia,customer302@email.com,18-24,M,Silver,2023-05-11
303,CUST-00303,Lerato,Tshabalala,customer303@email.com,25-34,M,Bronze,2022-04-17
304,CUST-00304,TUMI,Ndlovu,customer304@email.com,45-54,F,Platinum,2019-09-13
305,CUST-00305,Nomvula,Nkosi,customer305@email.com,45-54,F,Platinum,2021-12-10
306,CUST-00306,Aisha,Botha,customer306@email.com,18-24,F,Bronze,2021-03-13
307,CUST-00307,Tumi,Mabaso,customer307@email.com,45-54,F,Bronze,2020-09-07
308,CUST-00308,Johan,Sithole,,35-44,M,Silver,2022-01-19
309,CUST-00309,Yolanda,Ndlovu,customer309@email.com,18-24,M,Bronze,2018-10-26
310,CUST-00310,Zanele,Khumalo,customer310@email.com,45-54,F,Gold,2023-08-15
311,CUST-00311,Naledi,Nkosi,customer311@email.com,55+,M,Platinum,2018-11-20
312,CUST-00312,Aisha,Williams,customer312@email.com,35-44,F,Gold,2018-09-28
